"4503"	[206723.18000000028, 14651.55999999999, 105.95754997437226]
"4510"	[297289.8399999991, 21534.169999999976, 119.20202085003973]
"4517"	[339695.02999999997, 27763.77999999995, 122.63358483754511]
"4524"	[282860.09000000067, 23502.589999999956, 72.47248014347954]
"4531"	[308214.4099999998, 24113.649999999976, 140.35264571948989]
"4538"	[151501.30999999994, 13757.800000000003, 146.51964216634423]
"4545"	[752853.6700000059, 46133.129999999706, 99.74213963964041]
"4552"	[365108.70000000054, 27532.00999999999, 112.03089904878814]
"4559"	[1265635.2399999388, 112505.13999999939, 53.69003690662787]
"4566"	[833071.0100000041, 57505.63000000004, 80.72393507751977]
"4573"	[182029.02000000034, 13350.320000000005, 112.50248454882592]
"4580"	[282290.61000000034, 21992.940000000024, 39.6308591885442]
"4594"	[427287.5500000061, 28054.95999999942, 45.48515541835279]
"4601"	[484880.03000000934, 31686.18999999959, 55.73333678161027]
"4608"	[481474.110000001, 33233.03999999969, 63.46877273925666]
"4615"	[1806863.2599999548, 137975.49000000098, 151.9010727196263]
"4622"	[692124.7700000112, 44955.61000000018, 58.624832288667726]
"4629"	[659721.25, 47913.249999999665, 89.4173556519382]
"4636"	[457408.99999999837, 28510.829999999998, 70.7625309405938]
"4643"	[229590.1499999999, 14783.769999999999, 139.6533759124087]
"4650"	[394018.93000000046, 34614.93, 123.36221978710095]
"4657"	[235355.72000000073, 21923.989999999998, 141.60993983152872]
"4664"	[215010.8600000006, 16215.300000000017, 129.7591188895598]
"4671"	[29522.440000000006, 1728.499999999998, 130.63026548672568]
"4678"	[2632623.5000000102, 196483.07999999984, 195.61773666220913]
"4685"	[377396.4000000003, 19891.899999999932, 97.29218870843009]
"4692"	[172649.75999999998, 12571.169999999996, 138.8976347546259]
"4699"	[262831.7499999999, 16471.609999999997, 140.02757059136914]
"4706"	[145607.19999999992, 9468.35, 158.78647764449283]
"4713"	[409022.6300000029, 25980.649999999983, 142.26874086956624]
"4720"	[471442.21000000415, 34386.69999999996, 141.10811433702608]
"4727"	[356022.39000000124, 23904.9, 141.5033346581881]
"4734"	[595168.8400000037, 42922.6, 155.72183150183247]
"4741"	[459432.33, 33488.449999999975, 124.71018729641695]
