"Allamakee"	[3762344.350000104, 308022.21999999986, 81364.21999997704]
"Audubon"	[763133.4099999954, 67876.55999999995, 17935.980000000327]
"Benton"	[3209746.979999998, 268154.9699999988, 70840.23999998142]
"Bremer"	[8155299.980000154, 646819.2499999919, 170881.6199999902]
"Buchanan"	[6526058.37, 509304.2599999902, 134541.98999996835]
"CALHOUN"	[1517767.8100000236, 124208.7799999999, 32778.83000000019]
"CERRO GORD"	[23742863.69000157, 1622761.310000233, 428191.3200003363]
"CHEROKEE"	[3192989.110000095, 235660.9500000008, 62165.7399999825]
"CLAY"	[7247433.1599999685, 539717.1699999858, 142392.87999998266]
"CLINTON"	[17222368.320002444, 1196502.4000000465, 315716.94000011525]
"Calhoun"	[1562526.4299999832, 136143.71999999922, 35964.81999999867]
"Clarke"	[2665991.489999955, 203886.73999999993, 53851.29999998929]
"Delaware"	[6163578.429999866, 460124.42999999697, 121512.3899999982]
"EMMET"	[2650350.9199999785, 199493.3400000013, 52621.39999999138]
"HAMILTON"	[4025648.6100002467, 290837.26999999397, 76691.31999997831]
"HANCOCK"	[1645210.0700000043, 137368.34000000003, 36242.13999999906]
"HARRISON"	[2224130.1500000088, 154958.07000000164, 40801.999999994354]
"Hancock"	[1478777.4099999908, 133061.46000000017, 35139.25000000015]
"IOWA"	[3125063.40000006, 244240.15999999872, 64402.97999998552]
"LEE"	[15638960.960002007, 1025754.4100000062, 270671.0000000397]
"Lucas"	[1701204.3799999536, 130353.60000000005, 34429.03000000158]
"MARION"	[9706395.669999814, 654714.2199999978, 172704.42999997418]
"MARSHALL"	[14829050.87000259, 938395.5599999877, 247543.58999997212]
"MONONA"	[2273810.7499999474, 160287.64999999976, 42221.47999998861]
"O'Brien"	[5782118.63000019, 473376.84999998804, 125041.16999999092]
"SAC"	[2542303.220000017, 196961.96999999956, 51936.00999998619]
"Sioux"	[6654093.440000062, 509946.7199999989, 134718.36999999554]
"VAN BUREN"	[830954.0400000012, 57026.58000000025, 15034.410000000811]
"WEBSTER"	[14051613.60000167, 963994.3399999883, 254376.23999999472]
"WINNESHIEK"	[6044692.099999751, 422077.3899999969, 111366.67999999048]
"Winneshiek"	[6115485.420000077, 468732.6199999968, 123814.4699999991]
"ALLAMAKEE"	[3831191.8300001393, 294814.15999999625, 77767.05999997622]
"Adams"	[434508.1499999978, 32731.859999999582, 8637.62000000036]
"BUCHANAN"	[4869095.030000009, 355792.39999998873, 93859.18999997823]
"BUENA VIST"	[8340732.259999527, 559034.9899999697, 147469.17999996373]
"CASS"	[5018973.199999943, 353930.929999994, 93362.74999998853]
"CHICKASAW"	[1893822.9999999504, 152876.69000000035, 40341.09999999642]
"Cerro Gord"	[5165725.359999928, 368200.80999999563, 97182.91999996667]
"DALLAS"	[16449585.030001704, 1003004.9899999828, 264591.7499999017]
"DELAWARE"	[2665473.6099999873, 201668.5200000002, 53232.179999996224]
"DES MOINES"	[15076257.020001572, 977598.8700000179, 257841.6899999623]
"Fayette"	[5577833.869999836, 469239.0399999977, 123937.88999999942]
"JEFFERSON"	[4639704.400000028, 293995.84999999707, 77548.44999998849]
"JOHNSON"	[82335387.2100044, 5012223.839999641, 1322584.270002061]
"JONES"	[5815937.91000001, 441680.34999998164, 116527.87999996847]
"Johnson"	[75020997.97000886, 4864043.260000278, 1285069.9399984374]
"KOSSUTH"	[7307112.78999976, 523660.3499999855, 138197.7399999856]
"Kossuth"	[8064412.950000086, 639815.2599999923, 169005.8199999993]
"LOUISA"	[1065813.869999999, 72861.02000000053, 19199.050000001058]
"MILLS"	[2433924.24000003, 171521.12000000177, 45201.39999999396]
"Mitchell"	[2519792.6199999247, 211120.8000000007, 55761.38999998078]
"Monona"	[2443703.3499999526, 183236.24000000057, 48394.78999998554]
"PAGE"	[5664012.049999966, 395570.58999999106, 104359.20999998429]
"POLK"	[290943139.65967, 17033135.919988286, 4494886.879987064]
"Pottawattamie"	[44081112.44000591, 3042810.430000173, 803928.8700012713]
