"Breckenridge Distillery"	[20163.0, 405.0]
"Broadbent Distillery"	[182201.9999999994, 6563.1700000000055]
"Brown Forman Corp."	[71475455.41995928, 2491352.530000586]
"BuzzBox Beverages"	[687.36, 24.0]
"CVI Brands"	[21551.760000000002, 351.0]
"Campari America"	[4039827.1200000066, 149039.62999999846]
"DEHNER DISTILLERY"	[2002997.3500000238, 317769.889999998]
"Dakota Spirits Distillery"	[2707.4, 120.0]
"Demerara Distillers (USA) Inc."	[15499.98, 346.5]
"Diageo Americas"	[272790784.6591051, 14393777.559995862]
"Dilawri Barrels LLC"	[14893.5, 327.75]
"Dreyfus, Ashby Co."	[2817.42, 49.5]
"E & J Gallo Winery"	[27219873.990003202, 1872266.7100010316]
"E AND J GALLO WINERY"	[18470056.82999832, 1387764.2900002613]
"Edrington Group USA LLC"	[2710999.400000073, 51156.460000000014]
"FIFTH GENERATION INC"	[64179800.14004562, 3542051.3300006576]
"FOUR ROSES DISTILLERY"	[1790013.170000208, 61002.5]
"FRANK LIN DISTILLERS PRO"	[12039.359999999999, 328.5]
"Firestarter Spirits Inc."	[35174.59999999981, 1470.0]
"Firestone & Robertson Distilling Company, LLC"	[18037.74, 406.0]
"Foundry Distilling Company, LLC"	[803827.1300000307, 34442.159999999974]
"GUNSANDMORE INFO LLC"	[8881.02, 223.51999999999998]
"Gargoyle Enterprises / Laws Whiskey House"	[2979.0, 40.5]
"Gemini Spirits"	[9612331.009999396, 750769.7999999999]
"GoAmericaGo Beverages LLC"	[303091.6900000006, 3015.0]
"Gray Duck Spirits LLC"	[196139.64999999964, 10906.25]
"Hexa Partners LP"	[3726.979999999998, 227.25]
"High West Distillery"	[31623.9, 722.25]
"Hillrock Estate Distillery LLC"	[6848.159999999998, 49.5]
"IMPEX BEVERAGE INC"	[25923.479999999996, 288.0]
"Imperial Brands, Inc."	[897048.4199999257, 84167.0]
"Kindred Spirits Of North America"	[4417.5, 139.5]
"Laird & Company"	[19955736.900005654, 2970559.6400006986]
"Lapham Import Co"	[7062.3, 319.5]
"Latasi Group"	[14466.25, 289.5]
"Levecke Corp."	[2115.660000000001, 101.25]
"Levecke Corporation JJB"	[76738.07999999895, 4001.25]
"Liquor Group Wholesale"	[3223.0599999999995, 37.5]
"MINHAS MICRO DISTILLERY"	[684100.9800000044, 119509.75]
"Mason Dixon Spirits LLC"	[225.0, 9.0]
"Mississippi River Distilling Co."	[2856532.700000042, 88039.64999999995]
"NORTH SHORE DISTILLERY"	[3122.4599999999996, 72.0]
"O&R Ventures, LLC"	[36423.17999999999, 1161.0]
"Ole Smoky Distillery, LLC"	[461365.88999999984, 18566.25]
"Opici Import Company"	[765.0, 22.5]
"Park Street Imports-Few Spirits"	[5126.820000000004, 99.0]
"Phusion Projects LLC"	[10732.5, 357.75]
"Prairie Creek Beverages LLC"	[32409.0, 1011.75]
"Prost Beverage Company"	[157762.5, 4507.5]
"Proximo"	[42000983.81000705, 3020830.410000214]
"Rumcoqui and Co"	[113513.25, 5630.25]
"SERRALLES USA"	[211013.20999999985, 13854.0]
"SQUARE ONE ORGANIC SPIRITS"	[324.0, 9.0]
"SUTTER HOME WINERY INC / Trinchero Family Estates"	[2868.96, 72.0]
"SWISS CELLARS"	[8042.34, 52.5]
"Santa Fe Tequila Company"	[56150.5399999997, 1389.0]
"Savage & Cooke / Santa Croce LLC"	[4702.679999999999, 72.0]
"Seashore Marketing Group"	[6687.3600000000015, 243.0]
"Skyy Spirits Inc"	[9751115.840000518, 377841.2199999949]
"SpeakEasy Spirits"	[110.28, 4.5]
"Splinter Group Napa, LLC"	[207.0, 4.5]
"Square One Organic Spirits"	[9862.5, 274.5]
"St. George Spirit, Inc"	[1039.3200000000002, 27.0]
"St. Louis Distillery LLC"	[153.0, 4.5]
"Stern Beverage"	[29055.0, 1452.75]
"Templeton Distilling LLC"	[401478.72, 7560.75]
"Three Rangers"	[36760.19999999982, 735.75]
"Tierra Madre LLC"	[958.5, 13.5]
"Two Sons Imports LLC"	[8109.0, 129.0]
"VBJ Beverages LLC"	[93249.0, 3532.5]
"Vikre Distillery"	[1101.2399999999998, 27.0]
"Vin Divino Ltd"	[86045.70000000054, 5037.0]
"Willett Distillery"	[8726.100000000002, 166.5]
"William Grant and Sons, Inc."	[757703.0200000159, 27231.189999999984]
"10th Mountain Whiskey & Spirit Company"	[292.5, 4.5]
"3 BADGE MIXOLOGY"	[340.08, 5.25]
"3-Oaks Distillery, LLC"	[38381.40000000001, 954.75]
"AHA TORO SPIRITS INC"	[4047.12, 72.0]
"AIKO IMPORTERS INC"	[31395.419999999987, 705.0]
"AMERICAN SPIRITS EXCHANGE"	[27511.139999999974, 593.6400000000003]
"Altamar Brands LLC"	[5530.379999999999, 81.0]
"Anchor Distilling"	[10098.519999999999, 176.25]
